user_id,date,exercise,sets,reps,weight,rpe,rest_sec,volume
1,2024-05-16,bench_press,3,6,72.9,6.9,93,1312.2
1,2024-05-18,squat,3,6,72.2,5.6,101,1299.6000000000001
1,2024-05-19,bench_press,3,7,52.6,7.2,62,1104.6
1,2024-05-20,barbell_row,3,9,55.5,6.4,119,1498.5
1,2024-05-23,barbell_row,3,9,40.9,7.5,122,1104.3
1,2024-05-24,bench_press,3,10,72.7,7.8,94,2181.0
1,2024-05-25,barbell_row,4,8,68.4,6.7,119,2188.8
1,2024-05-27,overhead_press,3,6,56.9,6.9,148,1024.1999999999998
1,2024-05-28,bench_press,4,9,66.6,6.8,142,2397.6
1,2024-05-28,deadlift,3,11,102.3,6.5,113,3375.8999999999996
1,2024-05-31,bench_press,4,7,43.3,5.6,109,1212.3999999999999
1,2024-06-02,squat,3,7,94.1,6.8,129,1976.1
1,2024-06-04,deadlift,3,12,101.1,6.5,147,3639.5999999999995
1,2024-06-05,barbell_row,3,10,46.2,7.8,118,1386.0
1,2024-06-06,deadlift,3,8,105.2,6.2,110,2524.8
1,2024-06-09,deadlift,4,8,112.1,5.8,84,3587.2
1,2024-06-10,bench_press,3,8,63.6,7.9,148,1526.4
1,2024-06-11,barbell_row,3,10,44.5,5.5,113,1335.0
1,2024-06-11,deadlift,5,9,128.8,5.5,147,5796.0
1,2024-06-12,barbell_row,3,8,48.3,8.2,157,1159.1999999999998
1,2024-06-13,barbell_row,3,9,47.9,6.7,79,1293.3
1,2024-06-15,deadlift,3,7,84.3,7.5,115,1770.3000000000002
1,2024-06-15,squat,3,6,82.9,6.0,133,1492.2
1,2024-06-17,bench_press,3,8,49.9,7.0,152,1197.6
1,2024-06-17,bench_press,3,8,60.6,6.6,83,1454.4
1,2024-06-19,overhead_press,4,7,58.0,5.7,116,1624.0
1,2024-06-21,deadlift,3,6,111.6,7.2,141,2008.7999999999997
1,2024-06-24,deadlift,5,8,118.8,7.3,147,4752.0
1,2024-06-25,deadlift,4,9,105.0,6.0,98,3780.0
1,2024-07-13,barbell_row,4,5,59.1,6.1,104,1182.0
1,2024-07-17,overhead_press,5,9,65.8,7.5,235,2960.9999999999995
1,2024-07-21,deadlift,5,5,98.6,7.1,121,2465.0
1,2024-07-21,deadlift,3,5,122.7,6.1,109,1840.5
1,2024-07-24,bench_press,4,6,75.4,6.7,151,1809.6000000000001
1,2024-07-27,bench_press,4,6,83.4,8.9,122,2001.6000000000001
1,2024-08-05,overhead_press,3,8,61.5,7.6,94,1476.0
1,2024-08-08,deadlift,4,9,106.6,6.7,116,3837.6
1,2024-08-29,squat,3,11,77.5,6.5,100,2557.5
1,2024-09-04,overhead_press,3,10,44.1,7.0,92,1323.0
1,2024-09-07,squat,3,7,105.7,7.5,120,2219.7
2,2024-10-19,deadlift,4,9,100.6,8.1,85,3621.6
2,2024-10-20,bench_press,3,7,67.8,7.9,106,1423.8
2,2024-10-22,squat,4,7,78.9,7.0,123,2209.2000000000003
2,2024-10-23,squat,5,6,69.8,8.3,117,2094.0
2,2024-10-25,barbell_row,3,12,49.8,8.1,89,1792.7999999999997
2,2024-10-27,squat,4,5,92.6,7.4,94,1852.0
2,2024-10-27,bench_press,3,7,61.0,7.2,154,1281.0
2,2024-10-29,barbell_row,3,8,71.7,6.8,145,1720.8000000000002
2,2024-10-30,deadlift,3,5,90.7,7.1,94,1360.5
2,2024-10-31,barbell_row,5,8,59.7,6.2,188,2388.0
2,2024-11-02,squat,3,10,73.1,5.2,130,2193.0
2,2024-11-03,squat,3,9,92.7,8.7,68,2502.9
2,2024-11-04,squat,5,5,92.2,8.4,128,2305.0
2,2024-11-08,bench_press,4,3,76.2,6.3,154,914.4000000000001
2,2024-11-09,bench_press,5,9,60.1,7.9,134,2704.5
2,2024-11-11,squat,3,8,85.5,8.1,76,2052.0
2,2024-11-14,squat,5,7,95.3,6.1,112,3335.5
2,2024-11-14,squat,3,12,72.5,7.0,135,2610.0
2,2024-11-15,barbell_row,4,10,41.6,5.0,109,1664.0
2,2024-11-18,squat,3,7,78.9,7.0,129,1656.9
2,2024-11-22,bench_press,3,7,67.5,7.3,125,1417.5
2,2024-11-22,barbell_row,3,7,54.0,7.8,135,1134.0
2,2024-12-02,squat,4,12,85.0,7.2,156,4080.0
2,2024-12-08,bench_press,3,10,67.0,7.1,105,2010.0
2,2024-12-12,overhead_press,4,5,30.9,7.5,73,618.0
2,2024-12-15,deadlift,3,8,125.9,7.2,154,3021.6000000000004
2,2024-12-16,overhead_press,3,5,41.9,6.2,137,628.5
2,2024-12-21,bench_press,3,11,59.1,6.7,141,1950.3000000000002
2,2024-12-22,deadlift,3,9,96.5,6.8,101,2605.5
2,2024-12-24,bench_press,4,7,49.0,7.0,95,1372.0
2,2024-12-30,bench_press,3,9,56.7,6.7,90,1530.9
2,2025-01-01,deadlift,4,8,111.4,9.4,101,3564.8
2,2025-01-05,overhead_press,3,9,41.0,7.7,127,1107.0
2,2025-01-08,deadlift,3,6,115.2,7.2,121,2073.6000000000004
2,2025-01-11,squat,4,7,107.5,5.0,137,3010.0
2,2025-01-17,squat,4,11,73.0,7.9,93,3212.0
2,2025-01-20,overhead_press,3,11,58.7,5.5,85,1937.1000000000001
2,2025-02-01,deadlift,3,8,116.5,7.6,95,2796.0
2,2025-02-04,overhead_press,3,10,45.9,7.0,68,1377.0
2,2025-02-10,squat,4,9,89.8,8.6,130,3232.7999999999997
3,2024-04-25,squat,3,7,85.3,5.0,120,1791.3000000000002
3,2024-04-26,squat,3,3,101.1,7.2,74,909.8999999999999
3,2024-04-28,bench_press,4,6,54.9,7.1,105,1317.6
3,2024-04-29,barbell_row,4,9,47.5,6.6,148,1710.0
3,2024-04-30,squat,3,7,114.5,8.3,179,2404.5
3,2024-05-03,squat,3,4,78.3,7.7,121,939.5999999999999
3,2024-05-03,overhead_press,4,5,37.3,8.9,90,746.0
3,2024-05-04,bench_press,3,7,63.1,5.9,98,1325.1
3,2024-05-07,squat,3,8,67.5,7.8,139,1620.0
3,2024-05-07,squat,4,10,89.5,5.2,111,3580.0
3,2024-05-09,deadlift,3,8,115.5,8.8,137,2772.0
3,2024-05-11,bench_press,4,8,60.4,8.0,112,1932.8
3,2024-05-12,bench_press,3,6,78.0,7.1,116,1404.0
3,2024-05-17,squat,3,10,89.4,6.8,129,2682.0
3,2024-05-17,squat,3,6,101.9,8.6,89,1834.2000000000003
3,2024-05-19,squat,4,6,102.8,6.1,141,2467.2
3,2024-05-20,bench_press,3,10,50.7,6.4,120,1521.0
3,2024-05-24,squat,4,4,72.5,6.1,189,1160.0
3,2024-05-25,squat,3,6,77.9,5.3,113,1402.2
3,2024-05-25,deadlift,3,6,80.5,6.7,108,1449.0
3,2024-05-27,barbell_row,3,8,81.1,6.6,82,1946.3999999999999
3,2024-05-31,overhead_press,3,8,25.1,8.0,106,602.4000000000001
3,2024-06-02,bench_press,4,12,44.8,6.5,151,2150.3999999999996
3,2024-06-03,barbell_row,3,8,62.0,6.2,140,1488.0
3,2024-06-03,squat,3,6,78.7,7.6,74,1416.6000000000001
3,2024-06-04,overhead_press,4,7,40.1,8.0,148,1122.8
3,2024-06-06,squat,3,10,101.9,6.6,151,3057.0
3,2024-06-10,deadlift,3,6,119.9,5.4,136,2158.2000000000003
3,2024-06-16,overhead_press,3,7,42.5,5.6,160,892.5
3,2024-06-18,barbell_row,5,10,78.4,7.4,69,3920.0
3,2024-06-20,bench_press,3,8,62.6,6.3,154,1502.4
3,2024-06-26,barbell_row,4,11,63.1,7.8,161,2776.4
3,2024-06-27,barbell_row,4,9,52.3,8.0,119,1882.8
3,2024-07-15,deadlift,5,9,95.8,7.0,86,4311.0
3,2024-07-24,overhead_press,3,9,58.2,5.4,80,1571.4
3,2024-08-02,bench_press,5,10,86.2,8.1,117,4310.0
3,2024-08-05,squat,3,5,110.8,8.4,150,1662.0
3,2024-08-08,squat,3,8,84.9,8.4,125,2037.6000000000001
3,2024-08-14,bench_press,3,7,71.1,6.2,113,1493.1
3,2024-08-17,squat,3,7,83.6,6.2,89,1755.6
4,2024-12-24,barbell_row,3,10,74.1,8.6,100,2223.0
4,2024-12-26,bench_press,3,10,58.0,9.5,134,1740.0
4,2024-12-26,bench_press,4,6,71.2,7.5,98,1708.8000000000002
4,2024-12-29,bench_press,3,8,57.0,7.9,121,1368.0
4,2025-01-01,barbell_row,3,6,67.7,7.1,78,1218.6000000000001
4,2025-01-02,bench_press,3,6,40.1,6.4,119,721.8000000000001
4,2025-01-03,overhead_press,3,9,42.3,7.0,138,1142.1
4,2025-01-04,overhead_press,5,7,47.2,7.5,101,1652.0000000000002
4,2025-01-05,deadlift,4,7,105.2,7.4,116,2945.6
4,2025-01-07,deadlift,5,8,121.9,5.9,175,4876.0
4,2025-01-10,bench_press,3,3,70.9,6.4,148,638.1
4,2025-01-11,squat,4,9,99.1,6.6,147,3567.6
4,2025-01-11,squat,4,8,91.6,7.8,79,2931.2
4,2025-01-14,bench_press,5,7,58.6,7.3,101,2051.0
4,2025-01-14,bench_press,3,8,61.8,6.4,85,1483.1999999999998
4,2025-01-17,barbell_row,5,7,59.5,7.6,95,2082.5
4,2025-01-17,overhead_press,4,9,41.5,7.4,102,1494.0
4,2025-01-23,overhead_press,3,7,21.2,7.9,145,445.20000000000005
4,2025-01-26,squat,5,9,80.8,5.4,111,3635.9999999999995
4,2025-01-28,bench_press,3,10,73.2,7.4,132,2196.0
4,2025-01-29,deadlift,3,7,111.3,8.8,97,2337.3
4,2025-01-30,bench_press,4,6,58.2,6.5,46,1396.8000000000002
4,2025-01-31,squat,5,12,74.9,6.9,84,4494.0
4,2025-02-01,squat,3,8,66.3,7.1,154,1591.1999999999998
4,2025-02-02,squat,4,10,105.7,5.9,90,4228.0
4,2025-02-06,squat,3,7,75.9,6.9,89,1593.9
4,2025-02-10,bench_press,5,8,59.3,8.1,128,2372.0
4,2025-02-16,bench_press,3,10,79.0,6.2,119,2370.0
4,2025-02-20,barbell_row,4,12,42.4,8.1,118,2035.1999999999998
4,2025-02-22,overhead_press,4,7,28.9,5.0,142,809.1999999999999
4,2025-02-24,bench_press,3,7,61.0,7.5,108,1281.0
4,2025-03-03,bench_press,3,9,67.3,7.4,123,1817.1
4,2025-03-09,squat,3,12,99.8,6.9,164,3592.7999999999997
4,2025-03-12,deadlift,4,6,102.7,6.5,119,2464.8
4,2025-03-18,deadlift,4,9,93.0,7.6,64,3348.0
4,2025-03-30,deadlift,3,9,129.8,6.3,151,3504.6000000000004
4,2025-04-05,squat,3,6,69.2,7.4,137,1245.6000000000001
4,2025-04-11,barbell_row,3,8,58.4,7.0,116,1401.6
4,2025-04-17,bench_press,3,8,71.7,8.1,182,1720.8000000000002
4,2025-04-20,bench_press,3,6,73.1,7.3,100,1315.8
5,2024-06-10,barbell_row,3,8,55.7,7.2,140,1336.8000000000002
5,2024-06-12,deadlift,4,5,87.9,7.9,112,1758.0
5,2024-06-13,deadlift,3,10,101.7,5.9,168,3051.0
5,2024-06-14,squat,3,10,83.3,5.7,160,2499.0
5,2024-06-19,barbell_row,4,6,40.4,7.6,141,969.5999999999999
5,2024-06-21,bench_press,3,7,73.4,6.9,143,1541.4
5,2024-06-22,deadlift,3,8,99.4,8.6,71,2385.6000000000004
5,2024-06-23,overhead_press,3,9,36.6,7.2,127,988.2
5,2024-06-24,bench_press,4,7,61.0,8.2,127,1708.0
5,2024-06-25,deadlift,3,4,110.9,5.7,101,1330.8000000000002
5,2024-06-25,squat,4,7,72.5,9.5,63,2030.0
5,2024-06-28,bench_press,4,13,70.1,7.1,143,3645.2
5,2024-06-29,deadlift,4,8,104.1,7.2,101,3331.2
5,2024-06-30,deadlift,3,6,97.7,6.8,90,1758.6000000000001
5,2024-07-01,squat,4,9,92.9,8.3,122,3344.4
5,2024-07-03,overhead_press,4,10,36.9,6.8,108,1476.0
5,2024-07-04,bench_press,3,8,70.9,6.9,114,1701.6000000000001
5,2024-07-04,overhead_press,4,9,37.0,7.1,121,1332.0
5,2024-07-05,deadlift,3,5,88.0,7.4,194,1320.0
5,2024-07-08,bench_press,5,8,58.0,7.5,98,2320.0
5,2024-07-09,barbell_row,4,7,101.9,7.0,80,2853.2000000000003
5,2024-07-10,overhead_press,3,10,40.1,5.0,127,1203.0
5,2024-07-12,bench_press,3,5,85.2,7.3,117,1278.0
5,2024-07-13,deadlift,4,10,94.4,5.0,148,3776.0
5,2024-07-14,squat,3,10,119.2,8.7,107,3576.0
5,2024-07-15,bench_press,3,3,51.9,7.9,96,467.09999999999997
5,2024-07-18,deadlift,5,9,110.7,6.3,129,4981.5
5,2024-07-19,overhead_press,3,8,31.5,7.4,112,756.0
5,2024-07-20,deadlift,3,5,97.4,6.8,75,1461.0
5,2024-07-24,bench_press,4,11,78.4,5.8,87,3449.6000000000004
5,2024-08-03,barbell_row,3,7,74.1,6.8,86,1556.1
5,2024-08-03,barbell_row,4,9,68.8,6.5,112,2476.7999999999997
5,2024-08-12,overhead_press,3,8,26.7,6.0,138,640.8
5,2024-08-21,barbell_row,3,7,76.1,6.6,73,1598.1
5,2024-08-21,bench_press,3,9,58.1,8.1,78,1568.6999999999998
5,2024-08-27,overhead_press,3,8,73.5,5.0,185,1764.0
5,2024-09-11,deadlift,4,8,90.9,7.5,81,2908.8
5,2024-09-14,bench_press,3,7,59.1,6.6,101,1241.1
5,2024-09-20,overhead_press,3,9,57.6,5.0,107,1555.1999999999998
5,2024-09-29,squat,3,8,72.6,6.8,171,1742.3999999999999
6,2024-06-13,bench_press,3,8,71.2,7.1,109,1708.8000000000002
6,2024-06-16,bench_press,3,6,54.0,7.7,154,972.0
6,2024-06-16,barbell_row,3,6,42.9,7.0,137,772.1999999999999
6,2024-06-19,bench_press,3,6,59.0,7.9,149,1062.0
6,2024-06-20,squat,3,9,96.8,5.7,127,2613.6
6,2024-06-23,bench_press,3,8,70.3,6.0,61,1687.1999999999998
6,2024-06-24,overhead_press,3,9,27.8,7.3,144,750.6
6,2024-06-25,barbell_row,3,8,54.9,7.3,142,1317.6
6,2024-06-25,deadlift,3,9,97.3,7.8,129,2627.1
6,2024-06-25,deadlift,4,7,118.3,5.9,115,3312.4
6,2024-06-28,bench_press,3,7,53.1,8.0,112,1115.1
6,2024-06-29,deadlift,4,12,100.3,8.9,150,4814.4
6,2024-07-01,bench_press,4,8,72.0,9.3,152,2304.0
6,2024-07-02,deadlift,3,9,103.6,8.2,137,2797.2
6,2024-07-05,squat,5,7,88.0,7.1,122,3080.0
6,2024-07-07,squat,3,11,78.8,7.3,101,2600.3999999999996
6,2024-07-07,bench_press,5,6,62.6,6.2,94,1878.0
6,2024-07-09,overhead_press,4,10,47.7,7.6,134,1908.0
6,2024-07-09,deadlift,3,8,81.4,7.1,73,1953.6000000000001
6,2024-07-10,squat,3,9,75.1,7.3,116,2027.6999999999998
6,2024-07-11,barbell_row,3,8,72.7,7.9,170,1744.8000000000002
6,2024-07-11,bench_press,5,9,56.4,8.9,105,2538.0
6,2024-07-13,squat,4,9,103.9,7.9,115,3740.4
6,2024-07-13,bench_press,3,11,58.7,6.7,110,1937.1000000000001
6,2024-07-16,bench_press,5,7,70.0,6.8,215,2450.0
6,2024-07-18,deadlift,5,11,97.2,5.8,123,5346.0
6,2024-07-19,overhead_press,3,6,53.3,6.8,94,959.3999999999999
6,2024-07-20,overhead_press,4,10,40.1,7.3,103,1604.0
